supplier_id,supplier_name,supplier_region,primary_component,effective_otd,defect_rate_pct,lead_time_days,annual_contract_value_usd,composite_risk_score,risk_score_0_100,risk_tier_calculated,recommended_action,otd_risk_score,defect_risk_score,lead_time_risk_score,concentration_risk_score,base_risk_score_component
SUP-028,Parker Hannifin,Southwest,Fluid Systems,83.54186717998076,2.05,12,7307286.74,34.38,34.4,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,16.458132820019244,10.25,1.8867924528301887,0.45464645175895746,5.333333333333333
SUP-031,American Axle,Southwest,Driveline Components,91.74664107485604,1.59,11,182859141.32,31.75,31.8,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,8.253358925143957,7.95,1.5094339622641508,11.377172229706119,2.6555555555555554
SUP-049,Panasonic Automotive,International - Asia,Infotainment,91.5433403805497,1.42,19,137455604.79,31.3,31.3,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,8.456659619450306,7.1,4.528301886792453,8.552244521905138,2.6666666666666665
SUP-033,Cts Corporation,West,Electronic Components,85.67518248175182,1.96,5,32772082.35,31.1,31.1,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,14.324817518248182,9.8,0.0,2.0390209782817226,4.933333333333334
SUP-019,Strattec Security,Midwest,Locks & Keys,86.67305848513902,2.35,6,11782790.55,30.42,30.4,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,13.326941514860977,11.75,0.0,0.7331043800501629,4.611111111111112
SUP-015,Gentex Corporation,Midwest,Mirrors & Vision,88.54064642507346,2.45,11,1758246.77,29.72,29.7,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,11.459353574926538,12.250000000000002,1.5094339622641508,0.10939500306199121,4.388888888888889
SUP-048,Aisin Seiki,International - Asia,Drivetrain,92.47910863509749,1.16,29,57876151.74,27.62,27.6,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,7.52089136490251,5.8,8.30188679245283,3.6009517576497916,2.4000000000000004
SUP-012,Autoliv,International - Europe,Safety Systems,90.27504911591355,1.49,20,20571795.82,26.9,26.9,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,9.724950884086454,7.449999999999999,4.90566037735849,1.279940737055674,3.544444444444445
SUP-004,Borgwarner,Northeast,Powertrain,93.54838709677419,0.72,12,197368110.54,25.73,25.7,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,6.451612903225808,3.5999999999999996,1.8867924528301887,12.279894623018542,1.5111111111111108
SUP-038,Nsk Ltd,International - Asia,Steering Systems,92.47524752475248,1.52,21,48392116.45,25.71,25.7,Moderate Risk (Yellow),Enhanced Monitoring — Quarterly Review,7.524752475247524,7.6,5.283018867924528,3.010871862556577,2.2888888888888888
SUP-003,Magna International,International - Canada/Mexico,Body & Chassis,92.7663734115347,0.77,8,154903959.21,23.72,23.7,Low Risk (Green),Standard Monitoring,7.233626588465299,3.85,0.3773584905660377,9.637850261537812,2.622222222222222
SUP-006,Lear Corporation,West,Seating,94.54713493530498,1.12,11,112837360.97,20.81,20.8,Low Risk (Green),Standard Monitoring,5.452865064695018,5.6000000000000005,1.5094339622641508,7.02054094990327,1.2222222222222223
SUP-021,Tower International,Southeast,Metal Stampings,93.96299902629016,0.76,8,132103702.33,20.09,20.1,Low Risk (Green),Standard Monitoring,6.037000973709837,3.8,0.3773584905660377,8.219258620273607,1.6555555555555557
SUP-016,Modine Manufacturing,Southwest,Thermal Management,92.13483146067416,1.46,11,12839965.34,19.55,19.6,Low Risk (Green),Standard Monitoring,7.865168539325837,7.3,1.5094339622641508,0.7988799249636391,2.077777777777778
SUP-013,Tenneco,Southwest,Exhaust Systems,96.97256385998108,0.2,4,222367121.93,18.24,18.2,Low Risk (Green),Standard Monitoring,3.0274361400189207,1.0,0.0,13.83528887951179,0.3777777777777779
SUP-036,Nn Inc,Northeast,Precision Components,92.23484848484848,0.95,9,31741361.99,17.41,17.4,Low Risk (Green),Standard Monitoring,7.765151515151516,4.75,0.7547169811320754,1.974891381195497,2.166666666666667
SUP-022,Martinrea International,International - Canada/Mexico,Metal Stampings,95.635305528613,1.06,10,78715185.91,16.35,16.4,Low Risk (Green),Standard Monitoring,4.364694471386997,5.300000000000001,1.1320754716981132,4.897519592002241,0.6555555555555557
SUP-026,Linamar,International - Canada/Mexico,Drivetrain,94.49901768172889,0.7,6,50697035.05,12.91,12.9,Low Risk (Green),Standard Monitoring,5.500982318271113,3.4999999999999996,0.0,3.1542798196231723,0.7555555555555554
