supplier_id,total_shipments,on_time_shipments,avg_delay_days,max_delay_days,total_quantity_shipped,total_shipment_value_usd,avg_transportation_cost,total_transportation_cost,total_fuel_cost,otd_pct,supplier_name,supplier_region,defect_rate_pct,reliability_score,supplier_risk_score,risk_tier,performance_tier,annual_contract_value_usd,primary_component,lead_time_days,certification_status,composite_score,performance_grade,rank
SUP-034,1025,863,0.7941463414634147,30,515160,933864670.97,1588.9161756097562,1628639.08,454057.62,84.2,Stoneridge,Midwest,2.15,67.2,6.1,High Risk,Probationary Supplier,37451324.55,Electronic Systems,3,Iatf 16949,84.9,2 - Good,38
SUP-032,1039,862,0.8046198267564967,30,520413,1029768241.61,1697.4633782483156,1763664.45,473229.91,82.96,Methode Electronics,Northeast,2.74,71.0,5.93,Medium Risk,Conditional Supplier,955254.06,Connectors,12,Iso 14001,84.86,2 - Good,39
SUP-018,999,824,0.8998998998998999,30,507194,778852407.64,1351.981131131131,1350629.15,366564.66,82.48,Superior Industries,Southeast,2.65,72.0,5.75,Medium Risk,Conditional Supplier,9735217.91,Aluminum Wheels,13,Iso 14001,84.84,2 - Good,40
SUP-035,1010,838,0.9465346534653465,30,491814,782994356.74,1337.443,1350817.43,355794.7,82.97,Dorman Products,Northeast,2.7,70.2,6.45,High Risk,Conditional Supplier,5136901.01,Hardware & Fasteners,13,Iatf 16949 + Iso 14001,84.72,2 - Good,41
SUP-037,1067,894,0.7835051546391752,30,527127,790836205.21,1152.0746204311154,1229263.62,328644.87,83.79,Koyo Bearings,International - Asia,3.04,66.6,6.52,High Risk,Probationary Supplier,10164527.9,Bearings,30,Iatf 16949 + Iso 14001,84.3,2 - Good,42
SUP-043,1090,893,1.0256880733944953,30,555846,996717371.66,1619.1565871559633,1764880.68,467779.61,81.93,Samvardhana Motherson,International - Asia,2.76,65.3,6.12,High Risk,Probationary Supplier,203293483.09,Wiring Harnesses,33,Iatf 16949 + Iso 14001,83.2,2 - Good,43
SUP-044,1095,894,0.9041095890410958,30,558425,898888972.5,1382.9952054794521,1514379.75,395945.4,81.64,Minda Industries,International - Asia,2.86,65.3,6.96,High Risk,Probationary Supplier,25325056.59,Switches & Sensors,26,Iatf 16949,83.02,2 - Good,44
SUP-042,1020,814,0.9696078431372549,30,515906,764136934.66,1198.833137254902,1222809.8,315137.99,79.8,Sl Corporation,International - Asia,2.5,68.9,6.85,High Risk,Probationary Supplier,37168046.58,Lighting,25,Iatf 16949 + Iso 14001,82.93,2 - Good,45
SUP-027,1017,832,0.8407079646017699,30,518065,889375213.99,1527.6679842674534,1553638.34,427244.1,81.81,Trelleborg,International - Europe,2.51,62.1,6.65,High Risk,Probationary Supplier,32436053.13,Sealing Solutions,31,Iso 9001,82.57,2 - Good,46
SUP-017,1053,843,1.1139601139601139,30,531641,845051765.99,1491.797027540361,1570862.27,438383.56,80.06,Dorman Products,Southeast,2.73,61.5,7.22,High Risk,Probationary Supplier,46520033.79,Replacement Parts,12,Iso 9001,81.51,2 - Good,47
SUP-020,1124,897,1.040035587188612,30,569721,1079281915.48,1292.770978647687,1453074.58,380818.25,79.8,Shiloh Industries,Southwest,2.68,57.5,6.91,High Risk,Probationary Supplier,11494336.62,Metal Stampings,10,Iatf 16949,80.6,2 - Good,48
SUP-008,1034,777,1.3191489361702127,30,512085,848229810.86,1387.0787137330753,1434239.39,393285.61,75.15,Continental Ag,International - Europe,3.83,57.3,8.67,High Risk,Probationary Supplier,230859187.58,Tires & Chassis,28,Uncertified,77.89,3 - Fair,49
SUP-047,972,673,1.5833333333333333,30,485316,824995913.88,1496.5621913580246,1454658.45,388992.88,69.24,Tokai Rika,International - Asia,3.43,52.2,9.97,High Risk,Probationary Supplier,2009762.37,Switches & Locks,21,Uncertified,74.03,3 - Fair,50
